,,DHAK_HAK,DHAK_HAJ,DHAK_HAH,DHAK_HAG,DHAK_HAE,DHAK_HAD,DHAK_HAB,DHAK_HAL,DHAK_HAM,DHAK_HAN,DHAK_HAO,DHAK_HAP,DHAK_HAT,DHAK_HA,DHAK_HAA,DHAK_HD,DHAK_HC,DHAK_HN,DHAK_HO,DHAK_HL,DHAK_HM,DHAK_HK,DHAK_HG,DHAK_HE,DHAK_HF,DHAK_HCU,DHAK_HCV,DHAK_HCQ,DHAK_HCR,DHAK_HCT,DHAK_HCM,DHAK_HCO,DHAK_HCP,DHAK_HB,DHAK_HU,DHAK_HT,DHAK_HQ,DHAK_HP,DHAK_HR,DHAK_HDE,DHAK_HDA,DHAK_HDD,DHAK_HDC,DHAK_HCW,DHAK_HCZ,DHAK_HCD,DHAK_HCB,DHAK_HCJ,DHAK_HCI,DHAK_HCK,DHAK_HBH,DHAK_HAZ,DHAK_HBE,DHAK_HBK,DHAK_HBI,DHAK_HBJ,DHAK_HBV
k1,UNMAPPED,0.022486539,0.00817669,0.018551801,0.016790773,0.022773789,0.029550936,0.023018331,0.020045479,0.028085191,0.016219752,0.035372728,0.025689048,0.012778953,0.022743004,0.019097647,0.019091715,0.022298838,0.010507605,0.022291462,0.015349259,0.009741915,0.016155577,0.014921005,0.01623181,0.029724053,0.016529563,0.021617893,0.009358109,0.013210377,0.015144836,0.012275662,0.018009084,0.013620459,0.033868891,0.017345953,0.012218486,0.026311439,0.021098111,0.013290402,0.012701441,0.017971202,0.005977443,0.026971338,0.013106506,0.018937174,0.013120916,0.00911961,0.01339715,0.016725759,0.019784748,0.012860158,0.006725077,0.024351294,0.014053667,0.011523947,0.00733579,0.013743611
k2,UNINTEGRATED,0.016743337,0.014543116,0.019264922,0.013131269,0.023324825,0.02245533,0.015799859,0.014088384,0.019831494,0.031950699,0.027169734,0.019741439,0.009181056,0.017775451,0.019825834,0.026344916,0.023337463,0.013081527,0.017950804,0.013857384,0.02764259,0.011454559,0.016554578,0.015908892,0.022976176,0.024125095,0.018763038,0.011388001,0.011460878,0.019877903,0.014700555,0.015901127,0.01123684,0.023370669,0.014322635,0.012632391,0.029429789,0.01302016,0.01953339,0.023422873,0.010192526,0.015174978,0.016964146,0.01205584,0.010191311,0.022016779,0.008715524,0.011520303,0.010393994,0.016183639,0.02428823,0.021521478,0.024856353,0.008064179,0.016443857,0.022051286,0.012244592
k3,UNINTEGRATED|unclassified,0.025429578,0.008243308,0.02147457,0.023535603,0.02013978,0.039591436,0.043421998,0.022070709,0.013283533,0.02058806,0.042981269,0.023618981,0.011947626,0.034856065,0.015484967,0.027040123,0.02636173,0.012965191,0.026681401,0.012918887,0.009540859,0.014489656,0.012905934,0.014448004,0.052208952,0.009282226,0.020203177,0.006737774,0.020381227,0.022093441,0.013101793,0.016132086,0.009321524,0.037344984,0.024398124,0.009947634,0.040683908,0.023375495,0.013543614,0.006837507,0.014288728,0.001683499,0.019850892,0.010583971,0.006637727,0.004377753,0.006430224,0.020765933,0.010844041,0.018201448,0.006269973,0.002345898,0.005230819,0.006715972,0.007192117,0.002725182,0.006243092
k4,UNINTEGRATED|g__Prevotella.s__Prevotella_copri,0.021752632,6.81E-13,0.060247374,0.031030304,0.008758681,0.012815172,0.003184596,0.005422263,0.004418121,6.81E-13,0.015597537,0.053137735,0.010038989,0.029840813,0.017655736,0.105483531,0.02841335,0.041100372,0.055537997,0.003123048,7.97E-05,6.81E-13,0.005636507,0.032489474,0.054198782,0.012952962,0.038859878,6.81E-13,0.006148373,6.81E-13,0.038175732,0.033571346,0.000315341,0.024525311,0.019864583,0.0222908,0.101667883,0.011761781,0.056130018,6.81E-13,0.000922498,6.81E-13,0.006473386,0.005593742,0.000606,6.81E-13,0.009099863,0.006375595,6.81E-13,0.001715035,6.81E-13,0.001930584,6.81E-13,0.001056572,6.81E-13,6.81E-13,6.81E-13
k5,UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii,0.020550631,0.025363985,0.027757799,0.00561425,0.012028541,0.023253589,0.009474831,0.007746746,0.014013314,0.019043679,0.006685625,0.014894088,0.001248227,0.001958165,0.002591643,0.011764979,0.055564278,0.002320953,0.003421755,0.006337359,3.46E-12,0.005581464,0.003933218,0.008290708,0.001590946,0.015986915,0.061349094,0.011437045,0.0080636,3.46E-12,0.015151278,0.053483039,0.01008074,0.065270334,0.005947659,0.010688937,0.006675777,0.003629405,0.005517974,0.024695191,0.013056238,0.025314869,0.104107941,0.01621603,0.009821741,0.014524728,0.003771057,0.009016582,0.012933778,0.026910178,0.025848676,0.002681894,0.002949545,0.014305416,0.045275572,0.007395375,0.076862617
k6,UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea,0.040017373,7.16E-12,7.16E-12,7.16E-12,7.16E-12,0.065238291,0.011554178,0.015539934,0.014122555,7.16E-12,0.090732186,7.16E-12,7.16E-12,0.067376059,7.16E-12,0.29107696,7.16E-12,0.064123818,0.016521042,0.008107299,7.16E-12,0.010312612,7.16E-12,0.005965479,0.061782727,0.086655455,7.16E-12,7.16E-12,0.000811106,7.16E-12,7.16E-12,7.16E-12,7.16E-12,7.16E-12,7.16E-12,7.16E-12,7.16E-12,0.021568841,0.065739831,7.16E-12,7.16E-12,7.16E-12,7.16E-12,0.043647686,7.16E-12,7.16E-12,7.16E-12,0.001574482,7.16E-12,0.015726879,7.16E-12,7.16E-12,7.16E-12,0.001805208,7.16E-12,7.16E-12,7.16E-12
k7,UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale,0.039291976,0.004718293,0.100964196,0.009573546,7.37E-12,0.053110462,0.006601136,0.038426695,0.002226071,0.014696879,0.049689049,0.008987139,0.014142556,0.033179874,0.006315665,0.030605685,0.13230111,0.001103256,0.009303314,0.006966076,7.37E-12,0.00533313,0.007928665,7.37E-12,0.003485135,7.37E-12,7.37E-12,0.005272902,0.012363209,0.000912263,0.002523618,7.37E-12,7.37E-12,0.036940531,7.37E-12,0.047970563,0.021286045,0.008432141,0.003511304,0.039334146,0.012836615,0.00612137,0.001516642,0.103064034,0.019915202,0.01367383,0.006893707,0.013069856,0.023120631,0.002504909,7.37E-12,0.003360287,7.37E-12,0.025612435,7.37E-12,0.008539402,0.002274449
k8,UNINTEGRATED|g__Butyrivibrio.s__Butyrivibrio_crossotus,0.267638931,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,0.146174462,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,0.505772715,7.90E-11,7.90E-11,7.90E-11,7.90E-11,0.021886634,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,0.039688015,7.90E-11,7.90E-11,7.90E-11,0.018839239,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11,7.90E-11
k9,UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus,0.022204617,0.029151771,0.032948407,0.039113052,0.07642995,0.025636166,0.028781474,8.93E-12,0.008441989,8.93E-12,0.050784223,0.032450421,0.023861446,8.93E-12,0.01450913,8.93E-12,0.023174816,8.93E-12,8.93E-12,0.016053657,8.93E-12,0.022184111,0.025076247,0.023835765,0.045171361,8.93E-12,8.93E-12,0.018209632,0.003850148,0.006530264,0.028062899,8.93E-12,0.009073569,0.03596435,0.0109555,0.009104346,0.032339308,8.93E-12,0.0317894,0.031205843,0.0202789,8.93E-12,8.93E-12,0.008088571,0.009728452,0.040286245,0.00712477,0.006552843,0.008477252,0.01080938,0.063611997,8.93E-12,8.93E-12,0.003321703,0.034616007,0.001358224,0.028851794
k10,UNINTEGRATED|g__Escherichia.s__Escherichia_coli,0.00459022,0.000543423,0.003974764,0.006289262,0.001392568,0.004331812,2.65E-12,0.015794978,0.043589203,0.005455562,0.006489295,0.008280389,0.018961019,0.004884496,0.024870277,0.024540867,0.004310505,0.014660589,0.027958482,0.00420292,0.1301312,0.003318634,0.010832287,0.001887823,0.008014136,0.081929721,0.001245435,2.65E-12,0.013555202,0.012461225,0.022809571,0.000799562,0.014107462,0.001156266,0.001677653,0.001927258,0.016291499,0.003196427,0.003699788,0.02979111,0.001701766,0.038249696,0.002334788,0.011007903,2.65E-12,0.027883815,2.65E-12,0.015421709,0.008290995,2.65E-12,0.021270435,0.172967147,0.036512324,0.00856769,0.00524423,0.066594613,2.65E-12
k11,UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans,0.027236937,0.096094079,1.81E-11,1.81E-11,0.005588049,0.029404366,0.014343585,0.020568824,1.81E-11,0.061475181,0.011966942,1.81E-11,0.00462121,0.004862481,0.008415031,0.015614455,0.072215868,1.81E-11,0.006490792,0.045247758,1.81E-11,1.81E-11,0.007548732,0.010643256,0.005527249,1.81E-11,0.005859315,0.010911087,0.036052397,1.81E-11,0.011475274,0.003208529,0.022498871,0.013939802,0.009534968,0.018683647,0.015198175,1.81E-11,0.010666034,0.043513324,0.008525321,0.004077706,1.81E-11,0.015324501,0.022008612,0.011833488,0.006769152,0.036218883,1.81E-11,0.012228464,0.132892902,0.00142301,1.81E-11,0.015189785,0.007278219,0.057578914,0.019244828
k12,UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae,0.007452491,5.55E-12,0.007217886,0.000556335,0.002212086,0.007423624,0.001758221,0.006059304,0.004839669,5.55E-12,0.014933452,0.021358434,0.012802922,0.001218185,0.06393663,5.55E-12,0.0007926,0.012983696,0.004249812,5.55E-12,0.141649269,0.004840398,0.06844084,0.001852452,0.001442759,0.091313852,5.55E-12,0.004154261,0.000454027,0.068334375,0.002403031,5.55E-12,5.55E-12,5.55E-12,0.002627681,0.00279714,5.55E-12,5.55E-12,0.017522236,0.023609324,0.002247438,0.010187197,5.55E-12,0.002066051,5.55E-12,0.086544161,5.55E-12,5.55E-12,0.004567657,5.55E-12,0.028860742,0.022982783,0.077267061,0.003401119,0.005221216,0.155417584,5.55E-12
k13,UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron,0.036774222,0.010028951,4.35E-11,4.35E-11,0.21388629,4.35E-11,4.35E-11,4.35E-11,0.007612743,0.045242151,4.35E-11,4.35E-11,4.35E-11,4.35E-11,0.012128849,4.35E-11,0.028009916,4.35E-11,4.35E-11,0.028535542,4.35E-11,0.023683391,0.043691372,0.046759958,4.35E-11,4.35E-11,4.35E-11,0.006483136,4.35E-11,4.35E-11,4.35E-11,4.35E-11,0.017136107,4.35E-11,0.013719609,4.35E-11,0.022273034,4.35E-11,4.35E-11,0.030566903,4.35E-11,4.35E-11,0.054003278,4.35E-11,0.00551725,0.013307737,0.008900848,4.35E-11,0.008087468,0.02026491,0.132913551,4.35E-11,0.034314097,4.35E-11,0.106264231,0.003441284,0.02645317
k14,UNINTEGRATED|g__Bifidobacterium.s__Bifidobacterium_adolescentis,0.025632392,3.49E-11,0.014889271,3.49E-11,0.004408744,0.015027448,0.002676736,0.033465941,0.057466289,0.094215446,0.003751994,0.010497347,0.002813625,3.49E-11,0.015315016,0.00323931,0.001034458,0.003108981,3.49E-11,0.019414059,3.49E-11,3.49E-11,3.49E-11,0.004376295,0.006609679,0.00397153,0.014532343,0.087701165,0.0025295,0.191310222,0.01246469,0.010476423,3.49E-11,0.007406859,0.007080294,0.018830826,0.008419144,0.006204276,3.49E-11,0.004182258,0.006990953,0.002893935,3.49E-11,3.49E-11,0.00028979,3.49E-11,3.49E-11,0.002072656,0.022266034,0.005814228,0.015197038,0.027020091,0.156722,3.49E-11,0.049410227,0.001189808,0.017080681
k15,UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae,0.012448863,2.01E-11,2.01E-11,2.01E-11,0.00252485,0.015761878,0.007380005,0.039194161,0.02207192,2.01E-11,0.045045022,0.012405828,0.007541774,2.01E-11,0.146686487,2.01E-11,2.01E-11,0.019556764,0.008182947,2.01E-11,0.030405542,2.01E-11,0.088647957,2.01E-11,0.00575101,0.00886576,2.01E-11,0.010824434,2.01E-11,0.002289577,2.01E-11,2.01E-11,2.01E-11,2.01E-11,2.01E-11,2.01E-11,2.01E-11,2.01E-11,2.01E-11,0.055000214,0.004815965,0.005077508,2.01E-11,2.01E-11,2.01E-11,0.060328348,2.01E-11,2.01E-11,0.003763886,2.01E-11,0.017105304,0.014338441,0.156355476,0.024863415,0.014950535,0.146535848,0.01128028
k16,UNINTEGRATED|g__Mitsuokella.s__Mitsuokella_multacida,0.015250007,0.027857785,2.78E-11,2.78E-11,2.78E-11,0.011984471,2.78E-11,0.035872743,2.78E-11,2.78E-11,2.78E-11,2.78E-11,0.006622382,0.107498907,0.006587835,2.78E-11,0.096280561,0.028337008,0.008385026,0.089409831,2.78E-11,2.78E-11,2.78E-11,0.099667603,2.78E-11,0.014496681,0.037150286,2.78E-11,0.045489211,2.78E-11,2.78E-11,0.02825484,0.003621958,0.008320147,0.002383797,2.78E-11,2.78E-11,0.042069463,2.78E-11,2.78E-11,0.004892325,2.78E-11,2.78E-11,2.78E-11,2.78E-11,2.78E-11,2.78E-11,0.047968815,0.053687587,0.177910731,2.78E-11,2.78E-11,2.78E-11,2.78E-11,2.78E-11,2.78E-11,2.78E-11
k17,UNINTEGRATED|g__Bacteroides.s__Bacteroides_stercoris,0.019461216,0.37852,3.62E-11,0.022242726,3.62E-11,3.62E-11,3.62E-11,3.62E-11,3.62E-11,3.62E-11,3.62E-11,3.62E-11,3.62E-11,3.62E-11,3.62E-11,0.025156657,0.010641997,3.62E-11,3.62E-11,0.038255121,3.62E-11,0.043735691,0.052148839,0.04432983,3.62E-11,0.004532865,3.62E-11,0.109214463,3.62E-11,3.62E-11,0.004857847,3.62E-11,0.031160307,3.62E-11,3.62E-11,0.010145786,0.089690153,3.62E-11,0.022658062,3.62E-11,3.62E-11,3.62E-11,3.62E-11,0.023571617,3.62E-11,3.62E-11,0.027317734,3.62E-11,0.019674638,3.62E-11,3.62E-11,3.62E-11,3.62E-11,3.62E-11,0.02268445,3.62E-11,3.62E-11
k18,UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens,0.006993942,0.019688842,1.34E-11,0.008128447,0.024422318,1.34E-11,1.34E-11,1.34E-11,0.017081965,0.244770874,0.102500277,1.34E-11,0.004744186,0.005296261,1.34E-11,0.010609183,1.34E-11,1.34E-11,1.34E-11,0.026277036,1.34E-11,0.008960715,0.00755081,0.003129911,0.006779418,1.34E-11,0.004127594,0.017428624,1.34E-11,1.34E-11,1.34E-11,0.003495886,0.008979582,0.016028951,0.012979074,0.004593517,0.013266734,1.34E-11,1.34E-11,0.041856062,1.34E-11,1.34E-11,1.34E-11,1.34E-11,1.34E-11,0.04815941,0.002255296,1.34E-11,1.34E-11,1.34E-11,0.067903592,1.34E-11,0.046696562,0.001571489,0.016917818,0.001367353,0.195438273
k19,UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes,0.062272541,0.011887744,1.21E-10,1.21E-10,1.21E-10,0.179349623,1.21E-10,0.029498519,1.21E-10,0.056972976,0.051364795,0.037900128,0.01435577,1.21E-10,1.21E-10,0.057619695,1.21E-10,1.21E-10,0.012837435,0.019178061,1.21E-10,1.21E-10,1.21E-10,0.030267163,1.21E-10,1.21E-10,0.018782492,1.21E-10,0.024888833,1.21E-10,0.018751175,1.21E-10,1.21E-10,0.154673364,1.21E-10,0.017765286,0.043200003,1.21E-10,1.21E-10,1.21E-10,1.21E-10,1.21E-10,1.21E-10,0.032725093,0.036589928,0.014644198,1.21E-10,0.033894797,0.040580378,1.21E-10,1.21E-10,1.21E-10,1.21E-10,1.21E-10,1.21E-10,1.21E-10,1.21E-10
